time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0159,26.9871,-0.0124,0.2471,-1,27,-0.0122,0.2472
0.0021,-1.0159,24.4097,-0.0124,0.2235,-1,-1,-0.0122,-0.0092
0.0042,-1.0155,21.8697,-0.0124,0.2002,-1,-1,-0.0122,-0.0092
0.0063,-1.0148,19.4000,-0.0124,0.1776,-1,-1,-0.0122,-0.0092
0.0083,-1.0137,17.0274,-0.0124,0.1559,-1,-1,-0.0122,-0.0092
0.0104,-1.0122,14.7726,-0.0124,0.1352,-1,-1,-0.0122,-0.0092
0.0125,-1.0100,12.6512,-0.0123,0.1158,-1,-1,-0.0122,-0.0092
0.0146,-1.0072,10.6737,-0.0123,0.0977,-1,-1,-0.0122,-0.0092
0.0167,-1.0038,8.8468,-0.0123,0.0810,-1,-1,-0.0122,-0.0092
0.0187,-0.9995,7.1738,-0.0122,0.0657,-1,-1,-0.0122,-0.0092
0.0208,-0.9944,5.6549,-0.0121,0.0518,-1,-1,-0.0122,-0.0092
0.0229,-0.9884,4.2879,-0.0121,0.0393,-1,-1,-0.0122,-0.0092
0.0250,-0.9814,3.0687,-0.0120,0.0281,-1,-1,-0.0122,-0.0092
0.0271,-0.9733,1.9916,-0.0119,0.0182,-1,-1,-0.0122,-0.0092
0.0292,-0.9640,1.0496,-0.0118,0.0096,-1,-1,-0.0122,-0.0092
0.0312,-0.9535,0.2343,-0.0116,0.0021,-1,-28,-0.0122,-0.2563
0.0333,-0.9418,-0.4648,-0.0115,-0.0043,-1,27,-0.0122,0.2472
0.0354,-0.9288,-1.0593,-0.0113,-0.0097,-1,-1,-0.0122,-0.0092
0.0375,-0.9145,-1.5602,-0.0112,-0.0143,-1,-1,-0.0122,-0.0092
0.0396,-0.8989,-1.9767,-0.0110,-0.0181,-1,-1,-0.0122,-0.0092
0.0417,-0.8821,-2.3173,-0.0108,-0.0212,-1,-1,-0.0122,-0.0092
0.0437,-0.8640,-2.5905,-0.0105,-0.0237,-1,-1,-0.0122,-0.0092
0.0458,-0.8448,-2.8041,-0.0103,-0.0257,-1,-1,-0.0122,-0.0092
0.0479,-0.8246,-2.9656,-0.0101,-0.0272,-1,-1,-0.0122,-0.0092
0.0500,-0.8037,-3.0819,-0.0098,-0.0282,-1,-1,-0.0122,-0.0092
0.0521,-0.7821,-3.1595,-0.0095,-0.0289,-1,-1,-0.0122,-0.0092
0.0542,-0.7604,-3.2041,-0.0093,-0.0293,-1,-1,-0.0122,-0.0092
0.0563,-0.7386,-3.2208,-0.0090,-0.0295,-1,-1,-0.0122,-0.0092
0.0583,-0.7174,-3.2142,-0.0088,-0.0294,0,-2,0.0000,-0.0183
0.0604,-0.6971,-3.1882,-0.0085,-0.0292,-1,-2,-0.0122,-0.0183
0.0625,-0.6781,-3.1462,-0.0083,-0.0288,0,-2,0.0000,-0.0183
0.0646,-0.6606,-3.0919,-0.0081,-0.0283,-1,-29,-0.0122,-0.2655
0.0667,-0.6450,-3.0301,-0.0079,-0.0277,-1,27,-0.0122,0.2472
0.0688,-0.6315,-2.9660,-0.0077,-0.0272,0,-2,0.0000,-0.0183
0.0708,-0.6205,-2.9035,-0.0076,-0.0266,0,-2,0.0000,-0.0183
0.0729,-0.6120,-2.8442,-0.0075,-0.0260,0,-2,0.0000,-0.0183
0.0750,-0.6061,-2.7893,-0.0074,-0.0255,0,-2,0.0000,-0.0183
0.0771,-0.6026,-2.7395,-0.0074,-0.0251,0,-2,0.0000,-0.0183
0.0792,-0.6013,-2.6953,-0.0073,-0.0247,0,-2,0.0000,-0.0183
0.0813,-0.6015,-2.6572,-0.0073,-0.0243,0,-2,0.0000,-0.0183
0.0833,-0.6026,-2.6251,-0.0074,-0.0240,-1,-2,-0.0122,-0.0183
0.0854,-0.6037,-2.5991,-0.0074,-0.0238,-1,-2,-0.0122,-0.0183
0.0875,-0.6043,-2.5788,-0.0074,-0.0236,-1,-2,-0.0122,-0.0183
0.0896,-0.6036,-2.5638,-0.0074,-0.0235,-1,-2,-0.0122,-0.0183
0.0917,-0.6010,-2.5536,-0.0073,-0.0234,-1,-3,-0.0122,-0.0275
0.0938,-0.5963,-2.5473,-0.0073,-0.0233,-1,-3,-0.0122,-0.0275
0.0958,-0.5890,-2.5446,-0.0072,-0.0233,-1,-3,-0.0122,-0.0275
0.0979,-0.5791,-2.5452,-0.0071,-0.0233,-1,-30,-0.0122,-0.2747
0.1000,-0.5664,-2.5507,-0.0069,-0.0234,-1,27,-0.0122,0.2472
