time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.9928,26.9584,-0.0121,0.2468,-1,27,-0.0122,0.2472
0.0021,-0.9933,24.3793,-0.0121,0.2232,-1,-1,-0.0122,-0.0092
0.0042,-0.9939,21.8378,-0.0121,0.1999,-1,-1,-0.0122,-0.0092
0.0063,-0.9949,19.3669,-0.0121,0.1773,-1,-1,-0.0122,-0.0092
0.0083,-0.9961,16.9935,-0.0122,0.1556,-1,-1,-0.0122,-0.0092
0.0104,-0.9976,14.7384,-0.0122,0.1349,-1,-1,-0.0122,-0.0092
0.0125,-0.9994,12.6171,-0.0122,0.1155,-1,-1,-0.0122,-0.0092
0.0146,-1.0017,10.6405,-0.0122,0.0974,-1,-1,-0.0122,-0.0092
0.0167,-1.0044,8.8154,-0.0123,0.0807,-1,-1,-0.0122,-0.0092
0.0187,-1.0075,7.1451,-0.0123,0.0654,-1,-1,-0.0122,-0.0092
0.0208,-1.0111,5.6299,-0.0123,0.0515,-1,-1,-0.0122,-0.0092
0.0229,-1.0153,4.2679,-0.0124,0.0391,-1,-1,-0.0122,-0.0092
0.0250,-1.0201,3.0552,-0.0125,0.0280,-1,-1,-0.0122,-0.0092
0.0271,-1.0254,1.9860,-0.0125,0.0182,-1,-1,-0.0122,-0.0092
0.0292,-1.0313,1.0536,-0.0126,0.0096,-1,-1,-0.0122,-0.0092
0.0312,-1.0378,0.2498,-0.0127,0.0023,-1,-28,-0.0122,-0.2563
0.0333,-1.0450,-0.4356,-0.0128,-0.0040,-1,27,-0.0122,0.2472
0.0354,-1.0527,-1.0143,-0.0129,-0.0093,-1,-1,-0.0122,-0.0092
0.0375,-1.0611,-1.4970,-0.0130,-0.0137,-1,-1,-0.0122,-0.0092
0.0396,-1.0699,-1.8928,-0.0131,-0.0173,-1,-1,-0.0122,-0.0092
0.0417,-1.0793,-2.2101,-0.0132,-0.0202,-2,-1,-0.0244,-0.0092
0.0437,-1.0892,-2.4573,-0.0133,-0.0225,-2,-2,-0.0244,-0.0183
0.0458,-1.0999,-2.6422,-0.0134,-0.0242,-1,-1,-0.0122,-0.0092
0.0479,-1.1117,-2.7725,-0.0136,-0.0254,-1,-1,-0.0122,-0.0092
0.0500,-1.1249,-2.8554,-0.0137,-0.0261,-1,-1,-0.0122,-0.0092
0.0521,-1.1401,-2.8978,-0.0139,-0.0265,-1,-1,-0.0122,-0.0092
0.0542,-1.1575,-2.9058,-0.0141,-0.0266,-1,-1,-0.0122,-0.0092
0.0563,-1.1775,-2.8851,-0.0144,-0.0264,-1,-1,-0.0122,-0.0092
0.0583,-1.2003,-2.8408,-0.0147,-0.0260,-1,-1,-0.0122,-0.0092
0.0604,-1.2263,-2.7774,-0.0150,-0.0254,-1,-1,-0.0122,-0.0092
0.0625,-1.2555,-2.6989,-0.0153,-0.0247,-1,-1,-0.0122,-0.0092
0.0646,-1.2880,-2.6094,-0.0157,-0.0239,-1,-28,-0.0122,-0.2563
0.0667,-1.3239,-2.5137,-0.0162,-0.0230,-1,27,-0.0122,0.2472
0.0688,-1.3631,-2.4173,-0.0166,-0.0221,-1,-1,-0.0122,-0.0092
0.0708,-1.4054,-2.3240,-0.0172,-0.0213,-1,-1,-0.0122,-0.0092
0.0729,-1.4505,-2.2356,-0.0177,-0.0205,-1,-1,-0.0122,-0.0092
0.0750,-1.4982,-2.1532,-0.0183,-0.0197,-2,-1,-0.0244,-0.0092
0.0771,-1.5479,-2.0774,-0.0189,-0.0190,-2,-2,-0.0244,-0.0183
0.0792,-1.5994,-2.0084,-0.0195,-0.0184,-2,-2,-0.0244,-0.0183
0.0813,-1.6523,-1.9466,-0.0202,-0.0178,-2,-2,-0.0244,-0.0183
0.0833,-1.7066,-1.8921,-0.0208,-0.0173,-2,-1,-0.0244,-0.0092
