time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.9958,26.9619,-0.0122,0.2468,-1,27,-0.0122,0.2472
0.0021,-0.9958,24.3831,-0.0122,0.2232,-1,-1,-0.0122,-0.0092
0.0042,-0.9959,21.8418,-0.0122,0.2000,-1,-1,-0.0122,-0.0092
0.0063,-0.9961,19.3710,-0.0122,0.1773,-1,-1,-0.0122,-0.0092
0.0083,-0.9965,16.9978,-0.0122,0.1556,-1,-1,-0.0122,-0.0092
0.0104,-0.9969,14.7428,-0.0122,0.1350,-1,-1,-0.0122,-0.0092
0.0125,-0.9975,12.6216,-0.0122,0.1156,-1,-1,-0.0122,-0.0092
0.0146,-0.9982,10.6449,-0.0122,0.0975,-1,-1,-0.0122,-0.0092
0.0167,-0.9992,8.8197,-0.0122,0.0807,-1,-1,-0.0122,-0.0092
0.0187,-1.0003,7.1491,-0.0122,0.0655,-1,-1,-0.0122,-0.0092
0.0208,-1.0017,5.6335,-0.0122,0.0516,-1,-1,-0.0122,-0.0092
0.0229,-1.0033,4.2710,-0.0122,0.0391,-1,-1,-0.0122,-0.0092
0.0250,-1.0052,3.0576,-0.0123,0.0280,-1,-1,-0.0122,-0.0092
0.0271,-1.0074,1.9875,-0.0123,0.0182,-1,-1,-0.0122,-0.0092
0.0292,-1.0099,1.0541,-0.0123,0.0097,-1,-1,-0.0122,-0.0092
0.0312,-1.0127,0.2490,-0.0124,0.0023,-1,-28,-0.0122,-0.2563
0.0333,-1.0159,-0.4380,-0.0124,-0.0040,-1,27,-0.0122,0.2472
0.0354,-1.0193,-1.0186,-0.0124,-0.0093,-1,-1,-0.0122,-0.0092
0.0375,-1.0232,-1.5034,-0.0125,-0.0138,-1,-1,-0.0122,-0.0092
0.0396,-1.0273,-1.9016,-0.0125,-0.0174,-1,-1,-0.0122,-0.0092
0.0417,-1.0318,-2.2217,-0.0126,-0.0203,-1,-1,-0.0122,-0.0092
0.0437,-1.0366,-2.4719,-0.0127,-0.0226,-1,-1,-0.0122,-0.0092
0.0458,-1.0417,-2.6601,-0.0127,-0.0244,-1,-1,-0.0122,-0.0092
0.0479,-1.0470,-2.7938,-0.0128,-0.0256,-1,-1,-0.0122,-0.0092
0.0500,-1.0526,-2.8799,-0.0128,-0.0264,-1,-1,-0.0122,-0.0092
0.0521,-1.0583,-2.9250,-0.0129,-0.0268,-1,-1,-0.0122,-0.0092
0.0542,-1.0640,-2.9348,-0.0130,-0.0269,-1,-1,-0.0122,-0.0092
0.0563,-1.0697,-2.9147,-0.0131,-0.0267,-1,-2,-0.0122,-0.0183
0.0583,-1.0752,-2.8698,-0.0131,-0.0263,-2,-2,-0.0244,-0.0183
0.0604,-1.0806,-2.8043,-0.0132,-0.0257,-1,-1,-0.0122,-0.0092
0.0625,-1.0858,-2.7226,-0.0133,-0.0249,-1,-1,-0.0122,-0.0092
0.0646,-1.0910,-2.6287,-0.0133,-0.0241,-1,-28,-0.0122,-0.2563
0.0667,-1.0963,-2.5279,-0.0134,-0.0231,-1,27,-0.0122,0.2472
0.0688,-1.1016,-2.4259,-0.0134,-0.0222,-1,-1,-0.0122,-0.0092
0.0708,-1.1071,-2.3266,-0.0135,-0.0213,-1,-1,-0.0122,-0.0092
0.0729,-1.1127,-2.2322,-0.0136,-0.0204,-1,-1,-0.0122,-0.0092
0.0750,-1.1185,-2.1439,-0.0137,-0.0196,-1,-1,-0.0122,-0.0092
0.0771,-1.1243,-2.0624,-0.0137,-0.0189,-1,-1,-0.0122,-0.0092
0.0792,-1.1300,-1.9883,-0.0138,-0.0182,-1,-1,-0.0122,-0.0092
0.0813,-1.1356,-1.9217,-0.0139,-0.0176,-1,-1,-0.0122,-0.0092
0.0833,-1.1408,-1.8625,-0.0139,-0.0171,-1,-1,-0.0122,-0.0092
0.0854,-1.1454,-1.8102,-0.0140,-0.0166,-1,-1,-0.0122,-0.0092
0.0875,-1.1493,-1.7642,-0.0140,-0.0162,-1,-1,-0.0122,-0.0092
0.0896,-1.1520,-1.7236,-0.0141,-0.0158,-1,-2,-0.0122,-0.0183
0.0917,-1.1532,-1.6874,-0.0141,-0.0154,-2,-2,-0.0244,-0.0183
0.0938,-1.1528,-1.6546,-0.0141,-0.0151,-2,-2,-0.0244,-0.0183
0.0958,-1.1505,-1.6241,-0.0140,-0.0149,-2,-2,-0.0244,-0.0183
0.0979,-1.1465,-1.5958,-0.0140,-0.0146,-1,-29,-0.0122,-0.2655
0.1000,-1.1411,-1.5706,-0.0139,-0.0144,-1,27,-0.0122,0.2472
0.1021,-1.1344,-1.5509,-0.0138,-0.0142,-1,-2,-0.0122,-0.0183
0.1042,-1.1269,-1.5377,-0.0138,-0.0141,-1,-2,-0.0122,-0.0183
0.1062,-1.1187,-1.5306,-0.0137,-0.0140,-1,-1,-0.0122,-0.0092
0.1083,-1.1100,-1.5287,-0.0136,-0.0140,-1,-1,-0.0122,-0.0092
0.1104,-1.1011,-1.5309,-0.0134,-0.0140,-1,-1,-0.0122,-0.0092
0.1125,-1.0921,-1.5361,-0.0133,-0.0141,-1,-1,-0.0122,-0.0092
0.1146,-1.0830,-1.5430,-0.0132,-0.0141,-1,-2,-0.0122,-0.0183
0.1167,-1.0740,-1.5503,-0.0131,-0.0142,-1,-2,-0.0122,-0.0183
0.1187,-1.0651,-1.5567,-0.0130,-0.0143,-1,-2,-0.0122,-0.0183
0.1208,-1.0564,-1.5610,-0.0129,-0.0143,-1,-2,-0.0122,-0.0183
0.1229,-1.0478,-1.5621,-0.0128,-0.0143,-1,-2,-0.0122,-0.0183
0.1250,-1.0393,-1.5592,-0.0127,-0.0143,-1,-2,-0.0122,-0.0183
0.1271,-1.0310,-1.5514,-0.0126,-0.0142,-1,-2,-0.0122,-0.0183
0.1292,-1.0228,-1.5380,-0.0125,-0.0141,-1,-2,-0.0122,-0.0183
0.1313,-1.0147,-1.5191,-0.0124,-0.0139,-1,-29,-0.0122,-0.2655
0.1333,-1.0066,-1.4962,-0.0123,-0.0137,-1,27,-0.0122,0.2472
0.1354,-0.9986,-1.4719,-0.0122,-0.0135,-1,-2,-0.0122,-0.0183
0.1375,-0.9904,-1.4475,-0.0121,-0.0133,-1,-2,-0.0122,-0.0183
0.1396,-0.9821,-1.4232,-0.0120,-0.0130,-1,-1,-0.0122,-0.0092
0.1417,-0.9737,-1.3985,-0.0119,-0.0128,-1,-1,-0.0122,-0.0092
0.1437,-0.9651,-1.3727,-0.0118,-0.0126,-1,-2,-0.0122,-0.0183
0.1458,-0.9562,-1.3455,-0.0117,-0.0123,-1,-2,-0.0122,-0.0183
0.1479,-0.9471,-1.3164,-0.0116,-0.0121,0,-2,0.0000,-0.0183
0.1500,-0.9375,-1.2852,-0.0114,-0.0118,-1,-2,-0.0122,-0.0183
0.1521,-0.9274,-1.2518,-0.0113,-0.0115,-1,-1,-0.0122,-0.0092
0.1542,-0.9165,-1.2164,-0.0112,-0.0111,-1,-1,-0.0122,-0.0092
0.1562,-0.9045,-1.1789,-0.0110,-0.0108,-2,-1,-0.0244,-0.0092
0.1583,-0.8914,-1.1394,-0.0109,-0.0104,-1,-1,-0.0122,-0.0092
0.1604,-0.8770,-1.0979,-0.0107,-0.0101,-1,-1,-0.0122,-0.0092
0.1625,-0.8616,-1.0544,-0.0105,-0.0097,-1,-2,-0.0122,-0.0183
0.1646,-0.8452,-1.0094,-0.0103,-0.0092,-1,-28,-0.0122,-0.2563
0.1667,-0.8282,-0.9649,-0.0101,-0.0088,-1,27,-0.0122,0.2472
0.1688,-0.8107,-0.9241,-0.0099,-0.0085,-1,-1,-0.0122,-0.0092
0.1708,-0.7931,-0.8889,-0.0097,-0.0081,-1,-1,-0.0122,-0.0092
0.1729,-0.7757,-0.8597,-0.0095,-0.0079,-1,0,-0.0122,0.0000
0.1750,-0.7590,-0.8365,-0.0093,-0.0077,-1,0,-0.0122,0.0000
0.1771,-0.7434,-0.8188,-0.0091,-0.0075,-1,0,-0.0122,0.0000
0.1792,-0.7294,-0.8062,-0.0089,-0.0074,0,-1,0.0000,-0.0092
0.1812,-0.7177,-0.7981,-0.0088,-0.0073,1,-1,0.0122,-0.0092
0.1833,-0.7084,-0.7936,-0.0086,-0.0073,1,-1,0.0122,-0.0092
0.1854,-0.7015,-0.7921,-0.0086,-0.0073,0,-1,0.0000,-0.0092
0.1875,-0.6966,-0.7931,-0.0085,-0.0073,-1,-1,-0.0122,-0.0092
0.1896,-0.6928,-0.7959,-0.0085,-0.0073,-1,-1,-0.0122,-0.0092
0.1917,-0.6897,-0.8001,-0.0084,-0.0073,-1,-1,-0.0122,-0.0092
0.1938,-0.6864,-0.8053,-0.0084,-0.0074,-1,-1,-0.0122,-0.0092
0.1958,-0.6826,-0.8110,-0.0083,-0.0074,-1,-1,-0.0122,-0.0092
0.1979,-0.6777,-0.8176,-0.0083,-0.0075,-1,-28,-0.0122,-0.2563
0.2000,-0.6715,-0.8267,-0.0082,-0.0076,-1,27,-0.0122,0.2472
0.2021,-0.6636,-0.8409,-0.0081,-0.0077,-1,0,-0.0122,0.0000
0.2042,-0.6540,-0.8619,-0.0080,-0.0079,-1,0,-0.0122,0.0000
0.2062,-0.6426,-0.8894,-0.0078,-0.0081,-1,0,-0.0122,0.0000
0.2083,-0.6293,-0.9224,-0.0077,-0.0084,-1,0,-0.0122,0.0000
