time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.1006,27.0937,-0.0134,0.2480,-1,27,-0.0122,0.2472
0.0021,-1.1211,24.5299,-0.0137,0.2246,-1,-1,-0.0122,-0.0092
0.0042,-1.1434,22.0040,-0.0140,0.2015,-1,-1,-0.0122,-0.0092
0.0063,-1.1676,19.5488,-0.0143,0.1790,-1,-1,-0.0122,-0.0092
0.0083,-1.1936,17.1908,-0.0146,0.1574,-1,-1,-0.0122,-0.0092
0.0104,-1.2211,14.9506,-0.0149,0.1369,-1,-1,-0.0122,-0.0092
0.0125,-1.2501,12.8432,-0.0153,0.1176,-1,-1,-0.0122,-0.0092
0.0146,-1.2803,10.8791,-0.0156,0.0996,-1,-1,-0.0122,-0.0092
0.0167,-1.3114,9.0644,-0.0160,0.0830,-1,-1,-0.0122,-0.0092
0.0187,-1.3429,7.4020,-0.0164,0.0678,-1,-1,-0.0122,-0.0092
0.0208,-1.3743,5.8915,-0.0168,0.0539,-1,-1,-0.0122,-0.0092
0.0229,-1.4050,4.5303,-0.0172,0.0415,-1,-1,-0.0122,-0.0092
0.0250,-1.4344,3.3134,-0.0175,0.0303,-1,-1,-0.0122,-0.0092
0.0271,-1.4616,2.2344,-0.0178,0.0205,-1,-1,-0.0122,-0.0092
0.0292,-1.4856,1.2855,-0.0181,0.0118,-1,-1,-0.0122,-0.0092
0.0312,-1.5053,0.4576,-0.0184,0.0042,-1,-28,-0.0122,-0.2563
0.0333,-1.5195,-0.2609,-0.0185,-0.0024,-1,27,-0.0122,0.2472
0.0354,-1.5268,-0.8827,-0.0186,-0.0081,-1,-1,-0.0122,-0.0092
0.0375,-1.5257,-1.4197,-0.0186,-0.0130,-1,-1,-0.0122,-0.0092
0.0396,-1.5144,-1.8822,-0.0185,-0.0172,-1,-1,-0.0122,-0.0092
