time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0448,27.0568,-0.0128,0.2477,-1,27,-0.0122,0.2472
0.0021,-1.0529,24.5022,-0.0129,0.2243,-1,-1,-0.0122,-0.0092
0.0042,-1.0615,21.9878,-0.0130,0.2013,-1,-1,-0.0122,-0.0092
0.0063,-1.0708,19.5468,-0.0131,0.1790,-1,-1,-0.0122,-0.0092
0.0083,-1.0806,17.2060,-0.0132,0.1575,-1,-1,-0.0122,-0.0092
0.0104,-1.0909,14.9861,-0.0133,0.1372,-1,-1,-0.0122,-0.0092
0.0125,-1.1016,12.9025,-0.0134,0.1181,-1,-1,-0.0122,-0.0092
0.0146,-1.1126,10.9659,-0.0136,0.1004,-1,-1,-0.0122,-0.0092
0.0167,-1.1236,9.1827,-0.0137,0.0841,-1,-1,-0.0122,-0.0092
0.0187,-1.1346,7.5559,-0.0138,0.0692,-1,-1,-0.0122,-0.0092
0.0208,-1.1452,6.0854,-0.0140,0.0557,-1,-1,-0.0122,-0.0092
0.0229,-1.1553,4.7686,-0.0141,0.0437,-1,-1,-0.0122,-0.0092
0.0250,-1.1645,3.6007,-0.0142,0.0330,-1,-1,-0.0122,-0.0092
0.0271,-1.1725,2.5753,-0.0143,0.0236,-1,-1,-0.0122,-0.0092
0.0292,-1.1789,1.6844,-0.0144,0.0154,-1,-1,-0.0122,-0.0092
0.0312,-1.1831,0.9188,-0.0144,0.0084,-1,-28,-0.0122,-0.2563
0.0333,-1.1849,0.2666,-0.0145,0.0024,-3,27,-0.0366,0.2472
0.0354,-1.1837,-0.2851,-0.0144,-0.0026,-4,13,-0.0488,0.1190
0.0375,-1.1798,-0.7476,-0.0144,-0.0068,-1,-2,-0.0122,-0.0183
0.0396,-1.1735,-1.1291,-0.0143,-0.0103,-1,-1,-0.0122,-0.0092
0.0417,-1.1657,-1.4369,-0.0142,-0.0132,0,-1,0.0000,-0.0092
0.0437,-1.1569,-1.6777,-0.0141,-0.0154,-1,0,-0.0122,0.0000
0.0458,-1.1475,-1.8581,-0.0140,-0.0170,-1,-1,-0.0122,-0.0092
0.0479,-1.1379,-1.9846,-0.0139,-0.0182,0,-1,0.0000,-0.0092
0.0500,-1.1282,-2.0631,-0.0138,-0.0189,-1,-1,-0.0122,-0.0092
0.0521,-1.1186,-2.0994,-0.0137,-0.0192,-1,-1,-0.0122,-0.0092
0.0542,-1.1088,-2.0989,-0.0135,-0.0192,-1,-1,-0.0122,-0.0092
0.0563,-1.0989,-2.0667,-0.0134,-0.0189,-1,-2,-0.0122,-0.0183
0.0583,-1.0885,-2.0076,-0.0133,-0.0184,0,-1,0.0000,-0.0092
0.0604,-1.0774,-1.9265,-0.0132,-0.0176,-1,-1,-0.0122,-0.0092
0.0625,-1.0651,-1.8276,-0.0130,-0.0167,-1,-1,-0.0122,-0.0092
0.0646,-1.0513,-1.7157,-0.0128,-0.0157,-1,-28,-0.0122,-0.2563
0.0667,-1.0352,-1.5968,-0.0126,-0.0146,-3,27,-0.0366,0.2472
0.0688,-1.0167,-1.4772,-0.0124,-0.0135,-5,15,-0.0610,0.1373
0.0708,-0.9958,-1.3607,-0.0122,-0.0125,-1,-2,-0.0122,-0.0183
0.0729,-0.9735,-1.2479,-0.0119,-0.0114,0,-2,0.0000,-0.0183
0.0750,-0.9505,-1.1378,-0.0116,-0.0104,0,-2,0.0000,-0.0183
0.0771,-0.9279,-1.0291,-0.0113,-0.0094,0,-1,0.0000,-0.0092
0.0792,-0.9063,-0.9207,-0.0111,-0.0084,0,-2,0.0000,-0.0183
0.0813,-0.8860,-0.8119,-0.0108,-0.0074,0,-1,0.0000,-0.0092
0.0833,-0.8670,-0.7019,-0.0106,-0.0064,-1,-1,-0.0122,-0.0092
0.0854,-0.8494,-0.5902,-0.0104,-0.0054,-1,-2,-0.0122,-0.0183
0.0875,-0.8329,-0.4763,-0.0102,-0.0044,-1,-1,-0.0122,-0.0092
0.0896,-0.8175,-0.3602,-0.0100,-0.0033,-1,-1,-0.0122,-0.0092
0.0917,-0.8032,-0.2419,-0.0098,-0.0022,-1,0,-0.0122,0.0000
0.0938,-0.7898,-0.1216,-0.0096,-0.0011,-1,-1,-0.0122,-0.0092
0.0958,-0.7776,0.0004,-0.0095,0.0000,-1,-1,-0.0122,-0.0092
0.0979,-0.7665,0.1232,-0.0094,0.0011,-1,-28,-0.0122,-0.2563
0.1000,-0.7568,0.2438,-0.0092,0.0022,0,27,0.0000,0.2472
0.1021,-0.7486,0.3588,-0.0091,0.0033,-1,17,-0.0122,0.1556
0.1042,-0.7421,0.4665,-0.0091,0.0043,-2,-1,-0.0244,-0.0092
0.1062,-0.7375,0.5683,-0.0090,0.0052,-2,-4,-0.0244,-0.0366
0.1083,-0.7352,0.6671,-0.0090,0.0061,0,0,0.0000,0.0000
0.1104,-0.7358,0.7651,-0.0090,0.0070,1,-1,0.0122,-0.0092
0.1125,-0.7400,0.8641,-0.0090,0.0079,0,-1,0.0000,-0.0092
0.1146,-0.7478,0.9653,-0.0091,0.0088,0,0,0.0000,0.0000
0.1167,-0.7591,1.0694,-0.0093,0.0098,0,-1,0.0000,-0.0092
0.1187,-0.7738,1.1769,-0.0094,0.0108,0,-1,0.0000,-0.0092
0.1208,-0.7911,1.2875,-0.0097,0.0118,0,-1,0.0000,-0.0092
0.1229,-0.8103,1.4003,-0.0099,0.0128,0,0,0.0000,0.0000
0.1250,-0.8305,1.5139,-0.0101,0.0139,0,-1,0.0000,-0.0092
0.1271,-0.8503,1.6263,-0.0104,0.0149,0,0,0.0000,0.0000
