time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.6122,26.9151,-0.0075,0.2464,-1,27,-0.0122,0.2472
0.0021,-0.1509,24.3484,-0.0018,0.2229,-1,-1,-0.0122,-0.0092
0.0042,0.3881,21.8225,0.0047,0.1998,-1,-1,-0.0122,-0.0092
0.0063,1.0106,19.3706,0.0123,0.1773,-1,-1,-0.0122,-0.0092
0.0083,1.7218,17.0200,0.0210,0.1558,-1,-1,-0.0122,-0.0092
0.0104,2.5263,14.7919,0.0308,0.1354,-1,-1,-0.0122,-0.0092
0.0125,3.4279,12.7021,0.0418,0.1163,-1,-1,-0.0122,-0.0092
0.0146,4.4295,10.7618,0.0541,0.0985,-1,-1,-0.0122,-0.0092
0.0167,5.5323,8.9780,0.0675,0.0822,-1,-1,-0.0122,-0.0092
0.0187,6.7363,7.3543,0.0822,0.0673,-1,-1,-0.0122,-0.0092
0.0208,8.0393,5.8914,0.0981,0.0539,-1,-1,-0.0122,-0.0092
0.0229,9.4370,4.5873,0.1152,0.0420,-1,-1,-0.0122,-0.0092
0.0250,10.9220,3.4382,0.1333,0.0315,-1,-1,-0.0122,-0.0092
0.0271,12.4844,2.4384,0.1524,0.0223,-1,-1,-0.0122,-0.0092
0.0292,14.1103,1.5810,0.1722,0.0145,-1,-1,-0.0122,-0.0092
0.0312,15.7821,0.8575,0.1927,0.0079,-1,-28,-0.0122,-0.2563
0.0333,17.4774,0.2572,0.2133,0.0024,-1,27,-0.0122,0.2472
0.0354,19.1692,-0.2321,0.2340,-0.0021,-1,-1,-0.0122,-0.0092
0.0375,20.8257,-0.6219,0.2542,-0.0057,40,-2,0.4883,-0.0183
0.0396,22.4128,-0.9226,0.2736,-0.0084,46,-1,0.5615,-0.0092
0.0417,23.8993,-1.1440,0.2917,-0.0105,50,1,0.6104,0.0092
0.0437,25.2597,-1.2961,0.3083,-0.0119,51,2,0.6226,0.0183
0.0458,26.4761,-1.3881,0.3232,-0.0127,50,2,0.6104,0.0183
0.0479,27.5378,-1.4285,0.3362,-0.0131,48,2,0.5859,0.0183
0.0500,28.4409,-1.4250,0.3472,-0.0130,45,1,0.5493,0.0092
0.0521,29.1874,-1.3841,0.3563,-0.0127,42,1,0.5127,0.0092
0.0542,29.7843,-1.3117,0.3636,-0.0120,40,0,0.4883,0.0000
0.0563,30.2425,-1.2130,0.3692,-0.0111,38,0,0.4639,0.0000
0.0583,30.5759,-1.0928,0.3732,-0.0100,36,0,0.4395,0.0000
0.0604,30.8007,-0.9554,0.3760,-0.0087,33,1,0.4028,0.0092
0.0625,30.9347,-0.8048,0.3776,-0.0074,28,2,0.3418,0.0183
0.0646,30.9958,-0.6447,0.3784,-0.0059,21,-24,0.2563,-0.2197
0.0667,31.0011,-0.4798,0.3784,-0.0044,10,27,0.1221,0.2472
0.0688,30.9640,-0.3149,0.3780,-0.0029,2,3,0.0244,0.0275
0.0708,30.8928,-0.1532,0.3771,-0.0014,33,1,0.4028,0.0092
0.0729,30.7911,0.0042,0.3759,0.0000,32,0,0.3906,0.0000
0.0750,30.6603,0.1570,0.3743,0.0014,32,1,0.3906,0.0092
0.0771,30.5015,0.3053,0.3723,0.0028,32,0,0.3906,0.0000
0.0792,30.3165,0.4490,0.3701,0.0041,32,0,0.3906,0.0000
0.0813,30.1074,0.5881,0.3675,0.0054,33,1,0.4028,0.0092
0.0833,29.8768,0.7227,0.3647,0.0066,33,0,0.4028,0.0000
0.0854,29.6284,0.8528,0.3617,0.0078,33,1,0.4028,0.0092
0.0875,29.3664,0.9782,0.3585,0.0090,33,0,0.4028,0.0000
0.0896,29.0964,1.0987,0.3552,0.0101,32,1,0.3906,0.0092
0.0917,28.8245,1.2140,0.3519,0.0111,31,1,0.3784,0.0092
0.0938,28.5579,1.3237,0.3486,0.0121,30,2,0.3662,0.0183
0.0958,28.3046,1.4274,0.3455,0.0131,26,3,0.3174,0.0275
0.0979,28.0721,1.5244,0.3427,0.0140,19,-23,0.2319,-0.2106
0.1000,27.8672,1.6130,0.3402,0.0148,6,27,0.0732,0.2472
0.1021,27.6932,1.6906,0.3381,0.0155,2,4,0.0244,0.0366
0.1042,27.5486,1.7561,0.3363,0.0161,31,2,0.3784,0.0183
0.1062,27.4274,1.8098,0.3348,0.0166,31,2,0.3784,0.0183
0.1083,27.3221,1.8530,0.3335,0.0170,31,1,0.3784,0.0092
0.1104,27.2259,1.8867,0.3323,0.0173,31,2,0.3784,0.0183
0.1125,27.1328,1.9120,0.3312,0.0175,31,2,0.3784,0.0183
0.1146,27.0381,1.9298,0.3301,0.0177,32,1,0.3906,0.0092
0.1167,26.9383,1.9412,0.3288,0.0178,32,2,0.3906,0.0183
0.1187,26.8312,1.9470,0.3275,0.0178,32,1,0.3906,0.0092
0.1208,26.7162,1.9479,0.3261,0.0178,32,1,0.3906,0.0092
0.1229,26.5941,1.9444,0.3246,0.0178,32,2,0.3906,0.0183
0.1250,26.4674,1.9367,0.3231,0.0177,31,2,0.3784,0.0183
0.1271,26.3399,1.9252,0.3215,0.0176,29,3,0.3540,0.0275
0.1292,26.2167,1.9103,0.3200,0.0175,26,4,0.3174,0.0366
0.1313,26.1034,1.8922,0.3186,0.0173,18,-23,0.2197,-0.2106
0.1333,26.0051,1.8700,0.3174,0.0171,9,27,0.1099,0.2472
0.1354,25.9241,1.8421,0.3165,0.0169,2,3,0.0244,0.0275
0.1375,25.8586,1.8081,0.3157,0.0166,31,2,0.3784,0.0183
0.1396,25.8035,1.7690,0.3150,0.0162,31,1,0.3784,0.0092
0.1417,25.7522,1.7264,0.3144,0.0158,30,1,0.3662,0.0092
0.1437,25.6994,1.6817,0.3137,0.0154,30,1,0.3662,0.0092
0.1458,25.6408,1.6360,0.3130,0.0150,30,1,0.3662,0.0092
0.1479,25.5738,1.5904,0.3122,0.0146,30,1,0.3662,0.0092
0.1500,25.4968,1.5458,0.3112,0.0142,30,1,0.3662,0.0092
0.1521,25.4094,1.5028,0.3102,0.0138,30,1,0.3662,0.0092
0.1542,25.3129,1.4619,0.3090,0.0134,30,1,0.3662,0.0092
0.1562,25.2097,1.4235,0.3077,0.0130,30,1,0.3662,0.0092
0.1583,25.1036,1.3878,0.3064,0.0127,29,1,0.3540,0.0092
0.1604,24.9997,1.3548,0.3052,0.0124,27,2,0.3296,0.0183
0.1625,24.9042,1.3248,0.3040,0.0121,24,3,0.2930,0.0275
0.1646,24.8235,1.2974,0.3030,0.0119,16,-24,0.1953,-0.2197
