time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0202,26.9481,-0.0125,0.2467,-1,27,-0.0122,0.2472
0.0021,-1.0359,24.3683,-0.0126,0.2231,-1,-1,-0.0122,-0.0092
0.0042,-1.0540,21.8262,-0.0129,0.1998,-1,-1,-0.0122,-0.0092
0.0063,-1.0748,19.3547,-0.0131,0.1772,-1,-1,-0.0122,-0.0092
0.0083,-1.0985,16.9810,-0.0134,0.1555,-1,-1,-0.0122,-0.0092
0.0104,-1.1250,14.7257,-0.0137,0.1348,-1,-1,-0.0122,-0.0092
0.0125,-1.1547,12.6044,-0.0141,0.1154,-1,-1,-0.0122,-0.0092
0.0146,-1.1874,10.6280,-0.0145,0.0973,-1,-1,-0.0122,-0.0092
0.0167,-1.2233,8.8034,-0.0149,0.0806,-1,-1,-0.0122,-0.0092
0.0187,-1.2623,7.1339,-0.0154,0.0653,-1,-1,-0.0122,-0.0092
0.0208,-1.3042,5.6199,-0.0159,0.0515,-1,-1,-0.0122,-0.0092
0.0229,-1.3490,4.2596,-0.0165,0.0390,-1,-1,-0.0122,-0.0092
0.0250,-1.3962,3.0489,-0.0170,0.0279,-1,-1,-0.0122,-0.0092
0.0271,-1.4456,1.9824,-0.0176,0.0181,-1,-1,-0.0122,-0.0092
0.0292,-1.4967,1.0533,-0.0183,0.0096,-1,-1,-0.0122,-0.0092
0.0312,-1.5487,0.2535,-0.0189,0.0023,-1,-28,-0.0122,-0.2563
0.0333,-1.6011,-0.4272,-0.0195,-0.0039,-3,27,-0.0366,0.2472
0.0354,-1.6530,-1.0005,-0.0202,-0.0092,-2,-1,-0.0244,-0.0092
0.0375,-1.7039,-1.4768,-0.0208,-0.0135,-3,-1,-0.0366,-0.0092
0.0396,-1.7534,-1.8654,-0.0214,-0.0171,-2,-1,-0.0244,-0.0092
0.0417,-1.8013,-2.1745,-0.0220,-0.0199,-1,-1,-0.0122,-0.0092
0.0437,-1.8477,-2.4124,-0.0226,-0.0221,-2,-1,-0.0244,-0.0092
0.0458,-1.8924,-2.5869,-0.0231,-0.0237,-2,-1,-0.0244,-0.0092
0.0479,-1.9352,-2.7055,-0.0236,-0.0248,-2,-1,-0.0244,-0.0092
0.0500,-1.9760,-2.7751,-0.0241,-0.0254,-2,-2,-0.0244,-0.0183
0.0521,-2.0148,-2.8024,-0.0246,-0.0257,-2,-2,-0.0244,-0.0183
0.0542,-2.0514,-2.7936,-0.0250,-0.0256,-3,-1,-0.0366,-0.0092
0.0563,-2.0859,-2.7546,-0.0255,-0.0252,-2,-1,-0.0244,-0.0092
