time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.9909,26.3290,-0.0121,0.2410,-1,27,-0.0122,0.2472
0.0021,-0.9880,23.6040,-0.0121,0.2161,-1,-1,-0.0122,-0.0092
0.0042,-0.9846,20.9016,-0.0120,0.1914,-1,-1,-0.0122,-0.0092
0.0063,-0.9809,18.2547,-0.0120,0.1671,-1,-1,-0.0122,-0.0092
0.0083,-0.9768,15.6906,-0.0119,0.1437,-1,-1,-0.0122,-0.0092
0.0104,-0.9722,13.2305,-0.0119,0.1211,-1,-1,-0.0122,-0.0092
0.0125,-0.9673,10.8909,-0.0118,0.0997,-1,-1,-0.0122,-0.0092
0.0146,-0.9620,8.6842,-0.0117,0.0795,-1,-1,-0.0122,-0.0092
0.0167,-0.9563,6.6190,-0.0117,0.0606,-1,-1,-0.0122,-0.0092
0.0187,-0.9503,4.7012,-0.0116,0.0430,-1,-1,-0.0122,-0.0092
0.0208,-0.9440,2.9343,-0.0115,0.0269,-1,-1,-0.0122,-0.0092
0.0229,-0.9375,1.3203,-0.0114,0.0121,-1,-1,-0.0122,-0.0092
0.0250,-0.9308,-0.1404,-0.0114,-0.0013,-1,-1,-0.0122,-0.0092
0.0271,-0.9241,-1.4475,-0.0113,-0.0133,-1,-1,-0.0122,-0.0092
0.0292,-0.9174,-2.6016,-0.0112,-0.0238,-1,-1,-0.0122,-0.0092
0.0312,-0.9110,-3.6031,-0.0111,-0.0330,-1,-28,-0.0122,-0.2563
0.0333,-0.9049,-4.4540,-0.0110,-0.0408,-3,27,-0.0366,0.2472
0.0354,-0.8996,-5.1565,-0.0110,-0.0472,1,-23,0.0122,-0.2106
0.0375,-0.8955,-5.7129,-0.0109,-0.0523,-2,-29,-0.0244,-0.2655
