time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-1.0242,26.9161,-0.0125,0.2464,-1,27,-0.0122,0.2472
0.0021,-1.0390,24.2917,-0.0127,0.2224,-1,-1,-0.0122,-0.0092
0.0042,-1.0561,21.6972,-0.0129,0.1986,-1,-1,-0.0122,-0.0092
0.0063,-1.0757,19.1653,-0.0131,0.1755,-1,-1,-0.0122,-0.0092
0.0083,-1.0978,16.7223,-0.0134,0.1531,-1,-1,-0.0122,-0.0092
0.0104,-1.1226,14.3886,-0.0137,0.1317,-1,-1,-0.0122,-0.0092
0.0125,-1.1501,12.1793,-0.0140,0.1115,-1,-1,-0.0122,-0.0092
0.0146,-1.1803,10.1050,-0.0144,0.0925,-1,-1,-0.0122,-0.0092
0.0167,-1.2133,8.1724,-0.0148,0.0748,-1,-1,-0.0122,-0.0092
0.0187,-1.2490,6.3848,-0.0152,0.0585,-1,-1,-0.0122,-0.0092
0.0208,-1.2873,4.7429,-0.0157,0.0434,-1,-1,-0.0122,-0.0092
0.0229,-1.3279,3.2451,-0.0162,0.0297,-1,-1,-0.0122,-0.0092
0.0250,-1.3706,1.8882,-0.0167,0.0173,-1,-1,-0.0122,-0.0092
0.0271,-1.4151,0.6676,-0.0173,0.0061,-1,-1,-0.0122,-0.0092
0.0292,-1.4607,-0.4222,-0.0178,-0.0039,-1,-1,-0.0122,-0.0092
0.0312,-1.5069,-1.3875,-0.0184,-0.0127,-1,-28,-0.0122,-0.2563
0.0333,-1.5529,-2.2365,-0.0190,-0.0205,-1,27,-0.0122,0.2472
0.0354,-1.5979,-2.9781,-0.0195,-0.0273,-1,-1,-0.0122,-0.0092
0.0375,-1.6408,-3.6197,-0.0200,-0.0331,-1,-1,-0.0122,-0.0092
0.0396,-1.6803,-4.1668,-0.0205,-0.0381,-1,-1,-0.0122,-0.0092
0.0417,-1.7150,-4.6233,-0.0209,-0.0423,-1,-1,-0.0122,-0.0092
0.0437,-1.7433,-4.9925,-0.0213,-0.0457,-1,-1,-0.0122,-0.0092
0.0458,-1.7636,-5.2768,-0.0215,-0.0483,-14,-29,-0.1709,-0.2655
0.0479,-1.7751,-5.4803,-0.0217,-0.0502,-6,-28,-0.0732,-0.2563
0.0500,-1.7790,-5.6108,-0.0217,-0.0514,-15,1,-0.1831,0.0092
0.0521,-1.7785,-5.6796,-0.0217,-0.0520,-1,0,-0.0122,0.0000
0.0542,-1.7789,-5.6990,-0.0217,-0.0522,3,-1,0.0366,-0.0092
0.0563,-1.7860,-5.6802,-0.0218,-0.0520,6,-1,0.0732,-0.0092
0.0583,-1.8045,-5.6326,-0.0220,-0.0516,6,-1,0.0732,-0.0092
0.0604,-1.8370,-5.5646,-0.0224,-0.0509,5,-1,0.0610,-0.0092
0.0625,-1.8842,-5.4830,-0.0230,-0.0502,0,-1,0.0000,-0.0092
0.0646,-1.9453,-5.3938,-0.0237,-0.0494,-2,-28,-0.0244,-0.2563
0.0667,-2.0183,-5.3031,-0.0246,-0.0486,-2,27,-0.0244,0.2472
0.0688,-2.1012,-5.2162,-0.0256,-0.0478,-3,30,-0.0366,0.2747
