time[s],horizontal_motion[pixel],vertical_motion[pixel],horizontal_motion[deg],vertical_motion[deg],horizontal_motion_raw[pixel],vertical_motion_raw[pixel],horizontal_motion_raw[deg],vertical_motion_raw[deg]
0.0000,-0.9866,26.9808,-0.0120,0.2470,-1,27,-0.0122,0.2472
0.0021,-0.9946,24.3980,-0.0121,0.2234,-1,-1,-0.0122,-0.0092
0.0042,-1.0043,21.8515,-0.0123,0.2001,-1,-1,-0.0122,-0.0092
0.0063,-1.0159,19.3745,-0.0124,0.1774,-1,-1,-0.0122,-0.0092
0.0083,-1.0295,16.9935,-0.0126,0.1556,-1,-1,-0.0122,-0.0092
0.0104,-1.0454,14.7294,-0.0128,0.1349,-1,-1,-0.0122,-0.0092
0.0125,-1.0637,12.5974,-0.0130,0.1153,-1,-1,-0.0122,-0.0092
0.0146,-1.0844,10.6082,-0.0132,0.0971,-1,-1,-0.0122,-0.0092
0.0167,-1.1078,8.7686,-0.0135,0.0803,-1,-1,-0.0122,-0.0092
0.0187,-1.1340,7.0816,-0.0138,0.0648,-1,-1,-0.0122,-0.0092
0.0208,-1.1629,5.5477,-0.0142,0.0508,-1,-1,-0.0122,-0.0092
0.0229,-1.1946,4.1647,-0.0146,0.0381,-1,-1,-0.0122,-0.0092
0.0250,-1.2291,2.9286,-0.0150,0.0268,-1,-1,-0.0122,-0.0092
0.0271,-1.2663,1.8337,-0.0155,0.0168,-1,-1,-0.0122,-0.0092
0.0292,-1.3061,0.8732,-0.0159,0.0080,-1,-1,-0.0122,-0.0092
0.0312,-1.3482,0.0391,-0.0165,0.0004,-1,-28,-0.0122,-0.2563
0.0333,-1.3922,-0.6789,-0.0170,-0.0062,-1,27,-0.0122,0.2472
0.0354,-1.4379,-1.2923,-0.0176,-0.0118,-1,-1,-0.0122,-0.0092
0.0375,-1.4845,-1.8114,-0.0181,-0.0166,-1,-2,-0.0122,-0.0183
0.0396,-1.5315,-2.2453,-0.0187,-0.0206,-2,-2,-0.0244,-0.0183
0.0417,-1.5782,-2.6022,-0.0193,-0.0238,-2,-2,-0.0244,-0.0183
0.0437,-1.6240,-2.8905,-0.0198,-0.0265,-2,-1,-0.0244,-0.0092
0.0458,-1.6681,-3.1181,-0.0204,-0.0285,-2,-1,-0.0244,-0.0092
0.0479,-1.7103,-3.2926,-0.0209,-0.0301,-2,-1,-0.0244,-0.0092
0.0500,-1.7502,-3.4210,-0.0214,-0.0313,-2,-1,-0.0244,-0.0092
0.0521,-1.7875,-3.5096,-0.0218,-0.0321,-2,-1,-0.0244,-0.0092
0.0542,-1.8221,-3.5639,-0.0222,-0.0326,-2,-1,-0.0244,-0.0092
0.0563,-1.8538,-3.5888,-0.0226,-0.0329,-2,-2,-0.0244,-0.0183
0.0583,-1.8825,-3.5885,-0.0230,-0.0329,-1,-2,-0.0122,-0.0183
0.0604,-1.9082,-3.5667,-0.0233,-0.0327,-2,-2,-0.0244,-0.0183
0.0625,-1.9306,-3.5264,-0.0236,-0.0323,-3,-2,-0.0366,-0.0183
0.0646,-1.9496,-3.4710,-0.0238,-0.0318,-2,-29,-0.0244,-0.2655
0.0667,-1.9652,-3.4046,-0.0240,-0.0312,-2,27,-0.0244,0.2472
0.0688,-1.9775,-3.3318,-0.0241,-0.0305,-1,-3,-0.0122,-0.0275
0.0708,-1.9863,-3.2557,-0.0242,-0.0298,-2,-3,-0.0244,-0.0275
0.0729,-1.9917,-3.1777,-0.0243,-0.0291,-2,-3,-0.0244,-0.0275
0.0750,-1.9934,-3.0983,-0.0243,-0.0284,-2,-3,-0.0244,-0.0275
0.0771,-1.9913,-3.0181,-0.0243,-0.0276,-2,-3,-0.0244,-0.0275
0.0792,-1.9851,-2.9378,-0.0242,-0.0269,-2,-3,-0.0244,-0.0275
0.0813,-1.9747,-2.8578,-0.0241,-0.0262,-2,-3,-0.0244,-0.0275
0.0833,-1.9598,-2.7788,-0.0239,-0.0254,-2,-2,-0.0244,-0.0183
0.0854,-1.9404,-2.7011,-0.0237,-0.0247,-2,-2,-0.0244,-0.0183
